offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
5.739130434782608745e+02,4.000000000000000000e+02,-7.165315267332971416e+00,-7.165315267332971416e+00,-4.954971627119537061e+02,-4.954971627119537061e+02,-3.333706063022583876e+00,-4.924392723784041550e+02,-6.100896805830643643e+00,-6.100896805830643643e+00,-3.298206388338499995e+00
4.695652173913043725e+02,4.000000000000000000e+02,-6.901430140156307402e+00,-6.901430140156307402e+00,-4.953968011125912199e+02,-4.953968011125912199e+02,-4.926322521161359305e+02,-5.843601735923357410e+00,-5.843601735923357410e+00,-3.869219778368864215e+00,-3.812796528153793663e+00
3.652173913043478137e+02,4.000000000000000000e+02,-6.547410468968863029e+00,-6.547410468968863029e+00,-4.952643452623208304e+02,-4.952643452623208304e+02,-4.928830325992852295e+02,-5.500258541577153437e+00,-5.500258541577153437e+00,-4.591390338133873428e+00,-4.499482916846327285e+00
2.608695652173913686e+02,4.000000000000000000e+02,-6.098928815255590052e+00,-6.098928815255590052e+00,-4.950892169854806752e+02,-4.950892169854806752e+02,-5.509698144580291057e+00,-4.932119446539462615e+02,-5.070623919432932780e+00,-5.070623919432932780e+00,-5.358752161134181513e+00
1.565217391304347530e+02,4.000000000000000000e+02,-5.606087408420194151e+00,-5.606087408420194151e+00,-4.948630649984175989e+02,-4.948630649984175989e+02,-6.511172246943919717e+00,-4.936484573393791493e+02,-4.615164109065062803e+00,-4.615164109065062803e+00,-6.269671781869719851e+00
5.217391304347825809e+01,4.000000000000000000e+02,-4.946005899686114162e+02,-4.946005899686114162e+02,-5.198927473708295111e+00,-5.198927473708295111e+00,-7.264414371935407289e+00,-4.942344851434256725e+02,-4.296003721035390299e+00,-4.296003721035390299e+00,-6.907992557929254929e+00
-5.217391304347825809e+01,4.000000000000000000e+02,-4.944047735585968439e+00,-4.944047735585968439e+00,-4.944215707553690891e+02,-4.944215707553690891e+02,-4.950005276477140228e+02,-7.366169770377804404e+00,-6.907992557929405919e+00,-4.296003721035845047e+00,-4.296003721035845047e+00
-1.565217391304347530e+02,4.000000000000000000e+02,-4.882676703686058772e+00,-4.882676703686058772e+00,-4.943519057683915889e+02,-4.943519057683915889e+02,-4.958623099451207850e+02,-6.766459510722878434e+00,-6.269671781869986305e+00,-4.615164109065233333e+00,-4.615164109065233333e+00
-2.608695652173912549e+02,4.000000000000000000e+02,-5.748701200818118195e+00,-5.748701200818118195e+00,-4.936412907701713380e+02,-4.936412907701713380e+02,-5.811262509308579460e+00,-4.965066879487108054e+02,-5.070623919433273841e+00,-5.070623919433273841e+00,-5.358752161134133551e+00
-3.652173913043477569e+02,4.000000000000000000e+02,-6.415732998947078158e+00,-6.415732998947078158e+00,-4.934288685453975631e+02,-4.934288685453975631e+02,-4.850147886458516133e+00,-4.965585834248533956e+02,-5.500258541577068172e+00,-5.500258541577068172e+00,-4.499482916846044844e+00
-4.695652173913042589e+02,4.000000000000000000e+02,-6.840434693574366065e+00,-6.840434693574366065e+00,-4.936817017339152471e+02,-4.936817017339152471e+02,-4.052279950485816684e+00,-4.960013815945362694e+02,-5.843601735922902662e+00,-5.843601735922902662e+00,-3.812796528153674647e+00
-5.739130434782607608e+02,4.000000000000000000e+02,-7.132176488682944182e+00,-7.132176488682944182e+00,-4.941040421563611176e+02,-4.941040421563611176e+02,-3.450368176249198449e+00,-4.951751289336617674e+02,-6.100896805830643643e+00,-6.100896805830643643e+00,-3.298206388338689177e+00
-6.782608695652172628e+02,4.000000000000000000e+02,-7.339096690486258012e+00,-7.339096690486258012e+00,-4.945107725944944832e+02,-4.945107725944944832e+02,-3.013800625202791128e+00,-4.943843952048370625e+02,-6.290366336421016058e+00,-6.290366336421016058e+00,-2.919267327159933423e+00
-7.826086956521737648e+02,4.000000000000000000e+02,-7.489131085914095820e+00,-7.489131085914095820e+00,-4.948376652563537164e+02,-4.948376652563537164e+02,-2.698454404604823331e+00,-4.937458873108600415e+02,-6.430403644144803366e+00,-6.430403644144803366e+00,-2.639192711710713013e+00
-8.869565217391304941e+02,4.000000000000000000e+02,-7.600194431167665243e+00,-7.600194431167665243e+00,-4.950833873160696612e+02,-4.950833873160696612e+02,-4.932631619024021461e+02,-6.535223901945073521e+00,-6.535223901945073521e+00,-2.467609003126674416e+00,-2.429552196110351669e+00
-9.913043478260869961e+02,4.000000000000000000e+02,-7.684065806525495645e+00,-7.684065806525495645e+00,-4.952647697316375570e+02,-4.952647697316375570e+02,-4.929049794038426739e+02,-6.614941959090174350e+00,-6.614941959090174350e+00,-2.295283919833606578e+00,-2.270116081818556619e+00
-1.095652173913043498e+03,4.000000000000000000e+02,-7.748602122183001484e+00,-7.748602122183001484e+00,-4.953991056139473130e+02,-4.953991056139473130e+02,-2.163989521607000199e+00,-4.926385294061299760e+02,-6.676578621155158544e+00,-6.676578621155158544e+00,-2.146842757687899006e+00
-1.200000000000000000e+03,4.000000000000000000e+02,-4.954998369346986919e+02,-4.954998369346986919e+02,-7.799126446872378438e+00,-7.799126446872378438e+00,-4.924379936752855542e+02,-2.062013961572380261e+00,-6.725000106675111056e+00,-6.725000106675111056e+00,-2.049999786649748135e+00
1.800000000000000000e+03,6.000000000000000000e+02,-7.802283841468124592e+00,-7.802283841468124592e+00,-4.957489058208316237e+02,-4.957489058208316237e+02,-2.051921617941785847e+00,-4.919436334574591001e+02,-6.725000047410503612e+00,-6.725000047410503612e+00,-2.049999905177627202e+00
1.643478260869565247e+03,6.000000000000000000e+02,-7.752759941429303581e+00,-7.752759941429303581e+00,-4.957185087522823324e+02,-4.957185087522823324e+02,-4.920059145534081040e+02,-6.676578542360630308e+00,-6.676578542360630308e+00,-2.149482459171991877e+00,-2.146842915278984965e+00
1.486956521739130721e+03,6.000000000000000000e+02,-7.689696365796635291e+00,-7.689696365796635291e+00,-4.956809424905713968e+02,-4.956809424905713968e+02,-4.920828349617254389e+02,-6.614941853003074357e+00,-6.614941853003074357e+00,-2.273821725540745575e+00,-2.270116293995577461e+00
1.330434782608695514e+03,6.000000000000000000e+02,-7.608086468278884240e+00,-7.608086468278884240e+00,-4.956338992718006011e+02,-4.956338992718006011e+02,-4.921790797709472258e+02,-6.535223757626681618e+00,-6.535223757626681618e+00,-2.434883148897291072e+00,-2.429552484746662966e+00
1.173913043478260988e+03,6.000000000000000000e+02,-7.500684327333601686e+00,-7.500684327333601686e+00,-4.955741466796364421e+02,-4.955741466796364421e+02,-4.923011980972028141e+02,-6.430403446819468627e+00,-6.430403446819468627e+00,-2.647074288856004376e+00,-2.639193106362584640e+00
1.017391304347826122e+03,6.000000000000000000e+02,-7.356996048327914650e+00,-7.356996048327914650e+00,-4.954971160837417301e+02,-4.954971160837417301e+02,-4.924584349480920196e+02,-6.290366068218617102e+00,-6.290366068218617102e+00,-2.931275187768766166e+00,-2.919267863561775034e+00
8.608695652173912549e+02,6.000000000000000000e+02,-7.162128452734123130e+00,-7.162128452734123130e+00,-4.953963444492887334e+02,-4.953963444492887334e+02,-4.926638949516601542e+02,-6.100896451540734233e+00,-6.100896451540734233e+00,-3.317093644296082999e+00,-3.298207096917939118e+00
7.043478260869565020e+02,6.000000000000000000e+02,-6.896379678239327404e+00,-6.896379678239327404e+00,-4.952628542506836311e+02,-4.952628542506836311e+02,-3.843448556189145826e+00,-4.929360179859638720e+02,-5.843601301462740594e+00,-5.843601301462740594e+00,-3.812797397073916184e+00
5.478260869565217490e+02,6.000000000000000000e+02,-6.538741778420671835e+00,-6.538741778420671835e+00,-4.950849987755402708e+02,-4.950849987755402708e+02,-4.550479744948151328e+00,-4.932999735471290705e+02,-5.500258091788850834e+00,-5.500258091788850834e+00,-4.499483816422436888e+00
3.913043478260869961e+02,6.000000000000000000e+02,-6.082220093115324744e+00,-6.082220093115324744e+00,-4.948509646412720713e+02,-4.948509646412720713e+02,-4.937874264372798621e+02,-5.444138493945177792e+00,-5.358752802531770776e+00,-5.070623598734073312e+00,-5.070623598734073312e+00
2.347826086956522147e+02,6.000000000000000000e+02,-5.567754591873040226e+00,-5.567754591873040226e+00,-4.945623156429321625e+02,-4.945623156429321625e+02,-6.408006264747731606e+00,-4.944297876656414701e+02,-6.269671975913117201e+00,-4.615164012042896502e+00,-4.615164012042896502e+00
7.826086956521749016e+01,6.000000000000000000e+02,-5.087224897705937110e+00,-5.087224897705937110e+00,-7.111406309975230933e+00,-4.952305116678219292e+02,-4.942907833133953091e+02,-4.942907833133953091e+02,-4.296003719055875081e+00,-4.296003719055875081e+00,-6.907992561888780081e+00
